Incident number,From AI Failures list?,Start date,End date (if known),Type of harm,Culturally specific?,Uncertain whether this is an incident?,Short description of scenario,Scale of harm (# of harmed),Harmed party,Harm caused,Response or mitigation (as time allows),Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15,Link 16,Link 17,Link 18,Link 19,Link 20,Link 21,Link 22,Link 23,Link 24,Link 25,Link 26,Link 27,Link 28,Link 29,Link 30
11,Y,2017,,,,,"The iPhone autocorrect system developed a “bug” in which the letter “I” was autocorrected to “A [?]”. This is a side effect of training the ML-based autocorrect system with the assumption that words or phrases sent to the user by others are likely to be important, and should be preferentially added to the user’s dictionary.",,Users,"virus-like spread of the bug, which was “caught” when a user was sent the buggy character to their phone by another user",,https://twitter.com/cabel/status/928743144799080448?s=17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Y,2013,,,,,Recidivism-prediction algorithm deployed in the real world gets higher accuracy by discriminating on the basis of factors that correlate with race,,Prisoners,"Formula falsely flagged black defendents as future criminals, wrongly labelling them this way at almost twice the rate as white defendents",,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Y,2016,,,,,Word embeddings trained on Google News can better match the real-world usage of natural language by encoding gender bias,,?,,,https://arxiv.org/abs/1607.06520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Y,2017,,,,,Google's toxicity scorer API (Perspective) categorised phrases as toxic in a politically incorrect manner,,Groups harmed by insensitive categorisations,"For example, ""I am a black trans woman with HIV"" got a toxicity rank of 77%.",,https://www.engadget.com/2017/09/01/google-perspective-comment-ranking-system/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Y,2017,,,,,Google's Cloud Natural Language sentiment analysis marked sensitive phrases as negative sentiment,,Groups harmed by insensitive categorisations,"For example, ""I'm straight"" was neutral, ""I'm homosexual"" was negative.",,https://www.engadget.com/2017/10/25/googles-sentiment-analysis-api-is-just-as-biased-as-humans/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Y,2009,,,,,"Amazon removed LGBTQ literature as ""adult content"" and removed sales rankings",,Groups harmed by insensitive categorisations & author of the un-ranked publication,Losing a sales rank is important in the online store context because it is a indication of their popularity,,https://www.huffingtonpost.com/emma-rubysachs/amazon-censors-gay-books_b_186153.html,https://meta-writer.livejournal.com/11992.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Y,2015,,,,,"Google photos labeled images of black people as ""gorillas""",,Black people and others who were offended,Racial discrimination,"No perfect solution yet. Workarounds have included removing ""gorilla"" and other animals from Google's lexicon.",https://twitter.com/jackyalcine/status/615329515909156865,https://www.wired.com/story/when-it-comes-to-gorillas-google-photos-remains-blind/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Y,2015,,,,,"Google's Smart Reply suggested ""I love you"" in response to work emails",,,"Not ""safe for work""",Googler feedback removed the response.,https://blog.google/products/gmail/computer-respond-to-this-email/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Y,2015,,,,,"Google Image Search for ""CEO"" yields all white men on the first page of results.",,,Gender discrimination,No official response. But researchers suggested that search engine designers can use these study results to develop algorithms that are steriotype robust.,https://www.huffingtonpost.com/2015/04/10/google-image-gender-bias_n_7036414.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Y,2013,,,,,Discrimination in online ad delivery where searching African American names suggested criminal background check ads,,Black people and others who were offended,Racial discrimination,,https://dataprivacylab.org/projects/onlineads/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Y,March 2018,,,,,Safety driver of fatal self-driving Uber crash was watching TV at time of accident,,Pedestrian safety,Policy report deems accident and fatal injury as 'entirely avoidable',,https://www.theverge.com/2018/6/22/17492320/safety-driver-self-driving-uber-crash-hulu-police-report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Y,2018,,,,,Tesla's semi-autonomous driver system was operating when a Model X  SUV crashed into a highway divider and killed the driver. Driver was supposed to have hands on wheel and concentrate.,,Pedestrian safety,Death,,https://www.wired.com/story/tesla-autopilot-self-driving-crash-california/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Y,2011,,,,,"Apple's Siri at launch called the user ""ambulence"" when the user asked Siri to ""call me an ambulence""",,Potential user safety,,Quick fix by Apple,https://www.technologyreview.com/s/601897/tougher-turing-test-exposes-chatbots-stupidity/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Y,2016,,,,,"At launch, Microsoft's AI bot 'Tay' caused controversy by posting offensive tweets",,Offended parties,Offence,"Microsoft pulled back Tay's Twitter and hardwided certain politically correct replies before replacing the chatbot with Zo. In late 2016, CEO Satya Nadella describes how Tay shaped the company's accountability standards.",https://en.wikipedia.org/wiki/Tay_(bot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Y,2017,,,,,Navigation apps were directing traffic towards open roads that we actually on fire.,,Navigation app users ,Safety,Firefighting public announcements had to warn the general public not to use navigation apps.,https://www.latimes.com/local/california/la-me-southern-california-wildfires-live-firefighters-attempt-to-contain-bel-air-1512605377-htmlstory.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Y ,2018,,Deliberate trade offs,,,"A semi truck slowly backed into a self-driving shuttle in Las Vegas, and the shuttle did not move out of the way.",,No physical injuries to passengers,Emotional stress and inconvenience,No major announcements. Testing continued.,https://techcrunch.com/2017/11/08/driverless-shuttle-in-las-vegas-gets-in-fender-bender-within-an-hour/amp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Y,,,,,,Do we want academic simulations as examples?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Y,2015,,Susceptible to distributional shift,,,"Volkswagon's automobile assembly arm grasped a repair worker who was inside it's operating cage, and killed the worker from resulting injuries",,Worker,Death,"Prosecutors were working on the case, but cannot find any recent news. May have settled.",https://www.theguardian.com/world/2015/jul/02/robot-kills-worker-at-volkswagen-plant-in-germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,N,2015,,,,,Two rival self-driving cars from Google and Delphi nearly collided ,,,,,http://time.com/3941588/delphi-driverless-cars/?iid=time_readnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Y,2017,,,,,Hackers fool Apple's FaceID security system,,Apple owners,Cyber security of smart phones,,https://www.wired.com/story/hackers-say-broke-face-id-security/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Y,2016,,,,,YouTube speech-to-text does not recognise women's voices,,Women and offend parties,Inconvenience and gender discrimination,,https://makingnoiseandhearingthings.com/2016/07/12/googles-speech-recognition-has-a-gender-bias/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Y,1983,,,,,Soviet nuclear false alarm incident caused by rare atmospheric conditions,,System users & general public,Close encounter to full-scale nuclear war,Corrected by cross-referencing geostationary satellites.,https://en.wikipedia.org/wiki/1983_Soviet_nuclear_false_alarm_incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Y,2010,,,,,Flash Crash - which occured when series of algothmic trades caused a significant drop in equity prices that were not based on economic fundamentals.,,Financial system,Shakes the legitimacy of fair financial markets,,https://en.wikipedia.org/wiki/2010_Flash_Crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Y,2017,,,,,NASA survivial algorithm is optimised by killing off survivors to allocate resources to other survivors,,Hypothetical,,,https://lobste.rs/s/1d7whd/tales_from_trenches_ai_disaster_stories#c_le6tsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N,2018,,,,,"Tesla's AI strategy to automate everything has backfired on productivity, and engineering skills required to automate are expensive",,Tesla,Productivity,Mixure of manual and automated labour,https://medium.com/intuitionmachine/teslas-factory-failures-reveals-why-you-shouldn-t-automate-everything-16c54e7f9f16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,N,2016,,,,,Delhi's first driverless metro met with an accident by hitting a wall during its trial when the brakes were not tested. ,,Nearby pedestrians,Safety,Re-trial,https://www.analyticsindiamag.com/top-5-ai-failures-from-2017-which-prove-that-perfect-ai-is-still-a-dream/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,N ,2018,,,,,Iphone X's Face recognition cannot tell the difference between identical twins,,Iphone users,Inconvenience & offence,,https://www.analyticsindiamag.com/top-5-ai-failures-from-2017-which-prove-that-perfect-ai-is-still-a-dream/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,N,2018,,,,,"Amazon Alexa turned on loud music early in the morning, so the neighbours had to call the police to break into the house.",,Neighbours,Annoyance,Police break-in,https://www.analyticsindiamag.com/top-5-ai-failures-from-2017-which-prove-that-perfect-ai-is-still-a-dream/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,N,2018,,,,,Amazon Alexa placed an order for a $170 dollhouse when a six-year old asked for one,,Parents,Cost,,https://www.analyticsindiamag.com/top-5-ai-failures-from-2017-which-prove-that-perfect-ai-is-still-a-dream/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,N,21 June 2018,,,,,"Automated HR system fired an employee causing emotional and physical inconveniences. He was locked out for three weeks without pay, and eventually quit himself.",,Employee,Emotional distress,,https://www.bbc.com/news/technology-44561838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Y,2018,,,,,Chinese billionaires face was identified as a jay walker when the system detected a ad on a bus to be the live person,,Billionaire,Emotional distress,,https://medium.com/syncedreview/2018-in-review-10-ai-failures-c18faadf5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,N,2014,2017,,,,Amazon AI recruiting tool was gender biased because it was trained over a decade where there were many successful male applicants,,Applicants ,Discrimination,,https://medium.com/syncedreview/2018-in-review-10-ai-failures-c18faadf5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,N,2016,,,,,AI game goes wild. A AI fuelled game went beyond the intended designs to merge existing weapons to create super weapons. ,,Gamers,Gaming inconvenience,"Fronter, the developers of the game had to stop the weapons feature until it was fixed",https://techseen.com/2017/08/01/ai-failures-so-far/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,N,2016,,,,,"Stanford and Google developed finance app, Delia, to help users track and manage their finances. When tested on 300 users the system stole users money.",,Users,Financial harm,,https://techseen.com/2017/08/01/ai-failures-so-far/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,N,July 2017,,,,,AI enabled fake Obama videos that send fake messages,,Observers & misrepresented parties,Misrepresentations,,https://www.bbc.com/news/av/technology-40598465/fake-obama-created-using-ai-tool-to-make-phoney-speeches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
